   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2017 JAN  1   00 04 09.0 38.3562 22.2570    6         2.9
 2017 JAN  1   00 13 02.0 39.5295 26.0740   11         2.3
 2017 JAN  1   00 20 37.0 38.4015 21.7708   10         1.8
 2017 JAN  1   00 28 55.0 38.4213 20.4118   14         1.5
 2017 JAN  1   00 51 24.0 38.4532 23.4457   13         1.6
 2017 JAN  1   02 24 37.0 34.8730 24.7553   23         2.4
 2017 JAN  1   04 27 54.0 38.4567 20.5617    5         1.6
 2017 JAN  1   05 27 03.0 37.1333 20.9278    5         3.5
 2017 JAN  1   06 12 11.0 37.4733 20.5565   12         1.9
 2017 JAN  1   06 24 42.0 38.1145 23.5305   11         1.3
 2017 JAN  1   06 47 09.0 36.3957 27.8002   62         2.9
 2017 JAN  1   10 23 29.0 39.4958 26.0757   18         2.1
 2017 JAN  1   11 02 14.0 38.1845 20.5412   20         1.0
 2017 JAN  1   11 08 03.0 38.0423 22.8278    9         1.3
 2017 JAN  1   11 33 25.0 38.4780 23.4285   11         1.9
 2017 JAN  1   12 10 20.0 40.5168 21.3760   19         2.4
 2017 JAN  1   12 12 26.0 38.4607 23.4625    9         1.8
 2017 JAN  1   12 59 59.0 38.0370 22.8228   12         2.0
 2017 JAN  1   13 04 01.0 34.8948 27.0798    7         4.4
 2017 JAN  1   13 30 26.0 35.0673 26.9332   10         2.9
 2017 JAN  1   13 47 08.0 39.5785 23.3967   13         2.7
 2017 JAN  1   13 57 59.0 38.3420 22.0920   10         1.9
 2017 JAN  1   14 15 52.0 39.9532 23.9745    6         1.6
 2017 JAN  1   14 51 17.0 37.1057 21.4205    9         2.1
 2017 JAN  1   15 07 31.0 38.5012 23.5068   10         1.3
 2017 JAN  1   17 04 42.0 38.0913 22.2987    5         0.5
 2017 JAN  1   17 07 04.0 38.4760 20.5608    7         1.7
 2017 JAN  1   17 10 05.0 38.0783 22.3247    5         1.0
 2017 JAN  1   17 24 19.0 38.0990 20.4065    5         2.3
 2017 JAN  1   18 32 54.0 38.8437 20.8870    5         1.2
 2017 JAN  1   19 13 02.0 37.7610 23.5538    8         1.3
 2017 JAN  1   19 51 20.0 37.5568 21.6015   14         1.0
 2017 JAN  1   19 52 34.0 37.4468 20.5252   10         1.9
 2017 JAN  1   19 55 48.0 38.3023 22.3212   13         2.0
 2017 JAN  1   20 09 25.0 37.4520 20.5338   13         1.8
 2017 JAN  1   20 22 11.0 37.7877 23.5818    9         1.4
 2017 JAN  1   20 26 37.0 37.5552 21.6440   11         1.5
 2017 JAN  1   20 35 38.0 37.5415 21.6485   12         1.6
 2017 JAN  1   21 17 55.0 37.7632 23.6112   35         1.3
 2017 JAN  1   21 38 29.0 40.7088 23.4570   13         1.0
 2017 JAN  1   21 39 12.0 38.5127 25.5468   10         1.7
 2017 JAN  1   21 40 11.0 37.5540 21.6838   17         1.1
 2017 JAN  1   21 57 02.0 38.3655 21.9827   11         1.7
 2017 JAN  1   22 29 58.0 36.6462 26.8543   27         2.7
 2017 JAN  1   23 01 40.0 37.4373 20.5735    7         1.8
 2017 JAN  1   23 10 13.0 38.8038 19.8472   14         1.7
 2017 JAN  1   23 22 18.0 40.9575 22.7722    6         2.1
 2017 JAN  2   00 01 52.0 38.4557 23.4552   14         1.1
 2017 JAN  2   00 07 54.0 38.4845 20.5382    6         1.1
 2017 JAN  2   00 31 56.0 38.9058 23.8663   14         2.2
 2017 JAN  2   01 01 45.0 38.3742 21.8105   10         1.4
 2017 JAN  2   01 07 39.0 38.2470 20.3382   17         1.3
 2017 JAN  2   01 16 54.0 37.9747 20.9615   11         3.3
 2017 JAN  2   01 25 50.0 39.4160 22.7745   24         2.2
 2017 JAN  2   01 27 25.0 38.8478 26.7473   27         2.5
 2017 JAN  2   01 46 50.0 37.7812 23.6142   19         1.1
 2017 JAN  2   01 50 58.0 39.5025 26.0898   17         3.1
 2017 JAN  2   02 40 35.0 37.4390 20.4917    7         2.0
 2017 JAN  2   02 52 24.0 38.3225 20.4492   10         1.9
 2017 JAN  2   02 57 11.0 40.5932 23.4603   10         1.1
 2017 JAN  2   03 43 10.0 38.8445 20.8538   13         1.2
 2017 JAN  2   04 08 50.0 38.3135 21.7702   12         1.1
 2017 JAN  2   04 15 59.0 38.0302 22.8178   10         1.6
 2017 JAN  2   04 40 51.0 37.3995 20.5188    8         1.9
 2017 JAN  2   06 53 03.0 37.4573 20.5488   10         1.9
 2017 JAN  2   07 58 55.0 37.5745 23.5632   12         2.1
 2017 JAN  2   08 07 47.0 37.4662 20.4840    8         2.0
 2017 JAN  2   08 57 52.0 39.2660 19.8310   16         2.3
 2017 JAN  2   11 37 50.0 38.5998 21.5262   12         1.5
 2017 JAN  2   11 45 11.0 38.7310 20.6712   11         1.9
 2017 JAN  2   12 36 59.0 37.7265 21.3867   23         2.4
 2017 JAN  2   13 05 35.0 39.4953 20.3790   10         1.9
 2017 JAN  2   13 50 48.0 36.1183 21.9613   10         3.3
 2017 JAN  2   14 23 54.0 34.7305 27.2682    7         3.0
 2017 JAN  2   14 30 39.0 39.5485 26.0682    8         2.7
 2017 JAN  2   15 48 16.0 38.2357 20.3252   10         1.2
 2017 JAN  2   16 12 32.0 37.7840 21.3028   22         2.0
 2017 JAN  2   16 42 50.0 39.6105 23.3543   11         1.5
 2017 JAN  2   16 46 58.0 37.8622 21.4040   26         1.4
 2017 JAN  2   18 05 26.0 37.4340 20.5235   10         2.0
 2017 JAN  2   18 43 54.0 38.7630 20.6170   13         1.8
 2017 JAN  2   19 42 06.0 37.5735 23.5477   12         1.6
 2017 JAN  2   20 46 12.0 38.8118 26.6405   12         1.9
 2017 JAN  2   21 12 50.0 39.5408 26.0602   12         2.0
 2017 JAN  2   21 32 03.0 38.4547 23.4525   11         2.3
 2017 JAN  2   22 41 21.0 38.7057 20.6018   11         1.0
 2017 JAN  2   22 54 13.0 37.7890 20.4897   22         1.6
 2017 JAN  2   23 20 28.0 38.2465 20.4035   13         1.4
 2017 JAN  2   23 30 48.0 37.4645 20.5653   11         1.6
 2017 JAN  2   23 45 40.0 37.8812 21.3195   15         1.8
 2017 JAN  3   00 20 13.0 40.5933 23.4463   12         0.9
 2017 JAN  3   00 58 25.0 37.4642 20.4888   10         1.3
