   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)           
 2018 JAN  1   00 47 25.5 38.5730 27.5061  100         3.3
 2018 JAN  1   00 59 31.2 38.2083 22.6698   11         1.8
 2018 JAN  1   02 17 30.5 35.8367 29.4128   17         2.8
 2018 JAN  1   02 18 10.2 34.7328 24.3558   22         2.3
 2018 JAN  1   02 24 21.9 37.3085 23.7220    9         1.9
 2018 JAN  1   04 37 49.0 38.9038 26.4540   10         2.9
 2018 JAN  1   04 48 25.1 38.0180 22.1017   55         1.7
 2018 JAN  1   05 09 00.1 41.5423 24.3515    7         1.6
 2018 JAN  1   05 36 44.2 38.9085 20.3543   27         1.6
 2018 JAN  1   06 15 42.1 39.3560 20.7172   17         1.0
 2018 JAN  1   08 28 30.0 38.2107 22.6633   13         1.8
 2018 JAN  1   09 13 39.7 40.2482 25.1875   13         2.0
 2018 JAN  1   09 21 50.9 39.5587 23.8207   20         2.2
 2018 JAN  1   09 58 34.8 38.4233 26.7985   14         2.4
 2018 JAN  1   10 28 30.5 38.2077 22.6602   15         1.9
 2018 JAN  1   12 58 20.0 39.2582 22.7632    8         1.8
 2018 JAN  1   13 56 27.5 39.9272 19.6377   11         3.3
 2018 JAN  1   15 41 18.2 36.8665 22.8780   11         1.8
 2018 JAN  1   16 15 56.1 38.0828 23.4475   11         1.7
 2018 JAN  1   16 22 47.1 37.0349 28.3844   10         2.8
 2018 JAN  1   17 17 12.2 38.7424 20.5746   17         1.8
 2018 JAN  1   18 08 42.0 39.0660 27.6602   15         2.3
 2018 JAN  1   18 10 48.8 38.8487 22.5632   10         1.7
 2018 JAN  1   18 22 25.4 41.1952 22.8432   14         1.5
 2018 JAN  1   20 21 48.7 39.7605 21.6920   12         1.7
 2018 JAN  1   20 33 22.4 41.2189 22.8680   10         1.2
 2018 JAN  1   21 39 10.2 38.6920 24.0452   18         1.9
 2018 JAN  1   21 42 28.0 38.5855 21.2697   19         1.6
 2018 JAN  1   21 48 34.0 38.8330 20.5173   19         1.6
 2018 JAN  1   22 13 52.7 41.2065 22.8690    8         4.0
 2018 JAN  1   22 16 13.4 41.1997 22.8660    8         3.7
 2018 JAN  1   22 19 13.2 41.2010 22.8647    5         3.0
 2018 JAN  1   22 26 39.9 38.5725 21.2565   18         2.0
 2018 JAN  1   22 45 30.1 41.2018 22.8543    8         1.8
 2018 JAN  1   23 00 46.8 41.2068 22.8688    5         3.5
 2018 JAN  1   23 38 52.6 41.1788 22.8897   14         1.5
 2018 JAN  1   23 52 38.7 41.2008 22.8602    7         1.7
 2018 JAN  2   02 40 16.4 41.1712 22.9168   13         1.8
 2018 JAN  2   03 43 57.2 34.6337 23.5071   17         3.1
 2018 JAN  2   04 24 17.4 41.1978 22.8653   14         4.8
 2018 JAN  2   04 28 42.9 41.1908 22.8627   10         3.3
 2018 JAN  2   04 36 16.3 41.1808 22.8467   10         1.6
 2018 JAN  2   04 44 48.9 41.1978 22.8448   11         1.6
 2018 JAN  2   04 58 27.0 38.1600 23.2620   10         1.7
 2018 JAN  2   04 59 48.8 41.1965 22.8687   12         1.5
 2018 JAN  2   05 06 04.2 41.1797 22.8637   11         1.3
 2018 JAN  2   05 59 11.6 41.1957 22.8600   11         1.5
 2018 JAN  2   06 26 20.8 41.1988 22.8675   10         2.2
 2018 JAN  2   08 40 56.7 38.1180 23.5713   14         1.4
 2018 JAN  2   09 32 10.3 37.8902 22.8500    8         2.2
 2018 JAN  2   10 07 50.7 41.1627 22.8823   11         1.7
 2018 JAN  2   11 45 52.5 38.7433 21.5350   55         2.0
 2018 JAN  2   13 22 28.1 38.1712 22.8110   14         1.8
 2018 JAN  2   13 38 29.9 37.8928 20.2652   20         2.9
 2018 JAN  2   13 54 12.8 38.3097 23.3583   11         2.3
 2018 JAN  2   15 26 49.3 38.6573 22.5083   16         2.0
 2018 JAN  2   15 40 15.3 41.1883 22.8605   11         2.5
 2018 JAN  2   15 52 06.7 37.9668 20.8693   21         2.5
 2018 JAN  2   17 28 09.2 40.1541 21.5121   12         2.7
 2018 JAN  2   17 36 34.6 41.1948 22.8533   10         3.9
 2018 JAN  2   17 59 07.1 41.2213 22.8420   16         1.5
 2018 JAN  2   18 05 00.7 40.1596 21.5195   10         1.8
 2018 JAN  2   18 19 04.8 36.9700 22.8862    7         2.0
 2018 JAN  2   18 20 08.7 36.9725 22.8185   12         2.0
 2018 JAN  2   18 34 41.9 36.9107 27.8658   17         2.5
 2018 JAN  2   19 23 17.4 41.1900 22.8775    9         2.3
 2018 JAN  2   20 40 41.1 38.0393 20.1945   10         2.1
 2018 JAN  2   21 23 29.0 36.9252 27.3585   14         3.3
 2018 JAN  2   23 30 53.9 37.9310 20.8502   24         1.9
 2018 JAN  2   23 31 59.6 38.3940 22.5050   11         1.6
 2018 JAN  3   00 47 11.9 38.9838 26.0682   11         2.9
 2018 JAN  3   00 49 30.3 38.9925 26.0818   14         2.7
 2018 JAN  3   00 52 52.5 38.9775 26.0923   14         2.6
 2018 JAN  3   01 34 16.2 38.4091 20.5124   20         2.6
 2018 JAN  3   01 40 47.5 38.9838 26.0503   12         2.2
 2018 JAN  3   03 03 35.5 38.9487 23.3908    9         2.5
 2018 JAN  3   03 24 29.8 37.8880 22.8567    9         2.8
 2018 JAN  3   05 04 14.1 38.2035 22.6397   11         2.4
 2018 JAN  3   05 32 56.3 41.1968 22.8790   11         2.3
 2018 JAN  3   06 19 14.2 38.1357 23.1515   12         1.6
 2018 JAN  3   08 54 49.0 40.4800 21.6678   56         2.1
 2018 JAN  3   13 53 12.3 37.2226 21.0324    6         2.4
 2018 JAN  3   14 35 49.0 36.9919 20.5600    6         3.2
 2018 JAN  3   15 32 10.8 38.9362 26.3070   10         1.9
 2018 JAN  3   15 59 15.4 38.7985 24.7633    8         1.6
 2018 JAN  3   20 53 37.1 36.9720 22.8495    7         2.5
 2018 JAN  3   21 17 24.5 39.3143 23.8882    9         1.9
 2018 JAN  3   21 22 48.0 38.8577 26.4029   14         3.4
 2018 JAN  3   21 45 04.3 36.9608 22.8030   12         2.0
 2018 JAN  3   21 45 55.7 36.9681 22.8268    9         2.3
 2018 JAN  3   22 02 39.2 38.8376 26.4871   16         1.6
 2018 JAN  3   22 15 12.9 34.7308 25.0152    6         4.1
 2018 JAN  3   22 24 25.7 40.3546 25.7318   21         1.6
 2018 JAN  3   23 24 31.2 40.3585 25.7527   17         1.2
 2018 JAN  4   00 13 15.7 36.5482 22.8885   16         1.7
 2018 JAN  4   00 15 17.2 38.0633 20.3432    7         3.5
 2018 JAN  4   00 19 14.9 38.0178 21.9108   11         1.8
 2018 JAN  4   00 41 52.3 38.0968 20.3632   11         2.5
 2018 JAN  4   00 45 36.8 39.4821 20.9720   19         1.7
 2018 JAN  4   02 42 35.0 34.9607 24.5712   53         2.3
 2018 JAN  4   03 45 18.7 38.6355 22.0197   12         2.2
 2018 JAN  4   05 47 25.0 39.5100 26.0530   13         2.3
 2018 JAN  4   06 17 03.5 39.5233 20.9777   18         1.7
 2018 JAN  4   07 01 12.4 38.0191 21.8729   15         1.5
 2018 JAN  4   07 04 42.0 39.4807 21.0052   11         1.3
 2018 JAN  4   07 20 49.6 38.4127 22.4062    8         2.0
 2018 JAN  4   10 45 51.9 35.7985 27.4202   12         3.2
 2018 JAN  4   15 03 51.7 39.4435 22.9278    8         2.7
 2018 JAN  4   16 09 22.4 40.0582 22.4338   14         2.1
 2018 JAN  4   18 59 53.7 38.8005 21.9072   19         1.7
 2018 JAN  4   19 03 51.8 41.1977 22.8312    8         2.0
 2018 JAN  4   20 21 34.9 38.3792 22.4230    9         2.1
 2018 JAN  4   21 32 28.1 41.2848 23.3518    8         1.2
 2018 JAN  4   22 30 05.0 38.4415 22.0532   12         1.5
 2018 JAN  4   22 37 30.1 38.1497 22.7020   17         1.7
 2018 JAN  4   23 50 06.2 39.6680 27.3072   11         2.1
 2018 JAN  5   00 52 44.6 38.2497 22.0667    9         1.4
 2018 JAN  5   01 37 34.6 36.4233 22.7363    9         2.0
 2018 JAN  5   01 51 19.1 40.6769 20.5939    7         2.2
 2018 JAN  5   01 52 37.6 38.4303 23.5218   11         1.8
 2018 JAN  5   02 32 50.7 40.6522 20.6937    8         1.5
 2018 JAN  5   03 06 13.9 41.2158 22.8392    8         3.5
 2018 JAN  5   03 17 16.5 36.1932 28.1948   70         3.3
 2018 JAN  5   03 26 40.7 41.2045 22.8142    7         1.4
 2018 JAN  5   04 09 41.9 40.3336 23.7296    7         1.7
 2018 JAN  5   08 49 44.7 40.9744 20.7248    2         2.2
 2018 JAN  5   09 21 35.3 40.4085 21.8568   15         1.8
 2018 JAN  5   09 34 52.5 36.9058 27.2128   13         2.9
 2018 JAN  5   09 50 55.8 41.1923 22.8708   10         2.6
 2018 JAN  5   10 29 00.3 38.8212 22.9972    8         2.4
 2018 JAN  5   11 13 38.9 38.2310 22.9315   13         1.4
 2018 JAN  5   12 37 27.7 40.3408 24.0692   10         2.9
 2018 JAN  5   12 58 02.8 36.3072 27.4315   83         3.5
 2018 JAN  5   14 01 59.0 37.8005 21.0403   15         1.8
 2018 JAN  5   17 22 54.3 38.8335 26.0423   11         2.4
 2018 JAN  5   17 39 38.1 38.2622 20.3618   12         1.6
 2018 JAN  5   18 16 16.1 40.3492 24.0562    8         2.1
 2018 JAN  5   18 30 52.1 38.9082 21.1417   18         2.4
