 DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2019 JAN  1   00 14 46.9 37.5752 20.4095   15         2.3
 2019 JAN  1   00 26 23.7 37.2833 20.6303   14         2.8
 2019 JAN  1   01 03 16.1 37.1790 20.5853   10         3.9
 2019 JAN  1   02 33 42.6 37.1488 20.5865    9         2.8
 2019 JAN  1   02 39 50.7 37.2075 20.6695   12         2.7
 2019 JAN  1   07 24 58.7 37.1175 20.5343    9         3.1
 2019 JAN  1   07 32 49.8 35.7122 23.1060   10         2.5
 2019 JAN  1   08 54 40.3 37.1367 20.5608   10         3.0
 2019 JAN  1   09 05 54.2 37.5440 20.6380    8         2.8
 2019 JAN  1   10 05 40.2 37.5847 20.7918    8         2.4
 2019 JAN  1   10 07 49.6 37.2602 20.5802   11         2.6
 2019 JAN  1   10 12 17.4 36.6497 25.7643   16         2.9
 2019 JAN  1   10 45 41.4 37.3902 20.6975   11         2.8
 2019 JAN  1   11 32 36.5 37.2640 20.5820   11         2.6
 2019 JAN  1   11 40 04.9 34.6277 23.8115   12         4.6
 2019 JAN  1   12 02 59.4 37.0353 20.5718    7         2.6
 2019 JAN  1   21 19 36.0 37.1188 20.5447   10         2.5
 2019 JAN  1   21 28 42.1 37.5595 20.7803   14         2.8
 2019 JAN  2   04 16 14.7 37.5680 20.7042   13         2.4
 2019 JAN  2   04 21 42.0 37.5377 21.1318   34         1.8
 2019 JAN  2   04 57 10.0 39.5655 24.2613   14         2.4
 2019 JAN  2   05 29 37.4 39.5605 24.2960   13         2.1
 2019 JAN  2   05 47 30.2 38.4313 21.9770    9         1.9
 2019 JAN  2   06 02 22.7 37.1437 20.4952   16         2.2
 2019 JAN  2   06 07 46.7 35.1462 23.2768   15         3.7
 2019 JAN  2   06 56 51.3 39.1248 23.3707   14         2.2
 2019 JAN  2   07 10 03.9 37.6455 20.5387   14         2.7
 2019 JAN  2   08 14 00.8 37.2973 20.8218    9         2.3
 2019 JAN  2   08 15 52.0 37.3062 20.7510   11         2.4
 2019 JAN  2   08 37 46.2 37.4122 20.6027   15         2.6
 2019 JAN  2   09 08 37.8 37.3943 20.7212   15         2.5
 2019 JAN  2   10 04 11.5 37.6023 20.6090   13         2.4
 2019 JAN  2   10 11 13.4 37.3945 20.5183   10         2.4
 2019 JAN  2   11 11 06.2 37.6628 20.3422   10         2.9
 2019 JAN  2   11 39 18.3 37.2033 20.6545   12         2.7
 2019 JAN  2   12 31 21.8 37.3020 20.6540   13         2.5
 2019 JAN  2   14 48 57.2 37.4359 20.4437   14         2.7
 2019 JAN  2   15 11 56.5 39.5602 24.2938   15         1.7
 2019 JAN  2   15 14 38.5 37.6482 20.6798   13         2.7
 2019 JAN  2   16 28 18.8 37.4765 20.4523    9         2.9
 2019 JAN  2   16 37 40.1 37.6092 20.7225   18         2.4
 2019 JAN  2   16 58 46.1 37.0500 21.0678   13         2.3
 2019 JAN  2   17 06 06.1 37.7163 20.6502   17         1.9
 2019 JAN  2   17 43 00.9 37.6368 20.4493   17         2.3
 2019 JAN  2   17 57 10.6 37.7380 21.1812   16         2.1
 2019 JAN  2   17 58 48.5 37.3682 20.6142   12         2.8
 2019 JAN  2   18 37 49.3 34.7557 23.8950   28         2.9
 2019 JAN  2   19 28 20.1 38.5085 21.9887   14         2.0
 2019 JAN  2   19 39 20.1 37.5697 20.3750   12         2.6
 2019 JAN  2   20 19 27.2 37.6467 20.5367   12         2.4
 2019 JAN  2   20 34 16.1 37.5983 20.3675   13         2.2
 2019 JAN  2   23 59 33.7 39.5505 24.2678   11         1.6
 2019 JAN  3   01 14 18.5 37.1830 20.6213   12         2.7
 2019 JAN  3   01 18 38.7 39.2847 24.0132    8         1.7
 2019 JAN  3   01 22 22.4 37.3582 20.7813   11         1.9
 2019 JAN  3   01 22 38.4 35.1225 23.2223   46         2.6
 2019 JAN  3   02 24 38.7 37.6008 20.3493   11         2.3
 2019 JAN  3   02 27 54.1 37.4304 20.4163    9         2.4
 2019 JAN  3   03 26 58.5 37.4200 20.4558    8         2.6
 2019 JAN  3   03 42 49.2 38.8592 26.4458   15         2.2
 2019 JAN  3   04 04 49.2 38.8652 26.4503   17         2.3
 2019 JAN  3   04 29 31.9 35.2845 27.1750   16         2.4
