      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2020 JAN  1   00 00 30.8 37.8616 20.9702   22         1.4
 2020 JAN  1   00 08 20.8 35.4227 24.6213    6         1.9
 2020 JAN  1   00 23 17.8 38.1949 21.6989   27         1.3
 2020 JAN  1   02 38 51.4 37.1722 26.8890   10         2.4
 2020 JAN  1   06 33 38.3 37.4918 20.5765   11         2.7
 2020 JAN  1   07 32 41.4 36.5222 28.9050   44         2.4
 2020 JAN  1   08 10 30.6 38.9250 22.2322   18         1.5
 2020 JAN  1   08 15 56.2 37.5819 21.7836    6         1.5
 2020 JAN  1   09 22 19.6 34.3341 25.1788   22         2.4
 2020 JAN  1   09 57 53.1 36.8738 21.2952   47         2.3
 2020 JAN  1   11 15 16.3 37.5284 20.5344   14         2.6
 2020 JAN  1   13 51 47.9 36.5790 21.8463    9         2.2
 2020 JAN  1   16 44 51.1 37.4597 22.1448   13         1.7
 2020 JAN  1   16 56 49.0 38.5643 21.6014   15         1.6
 2020 JAN  1   17 37 22.5 34.3918 25.1010    6         3.4
 2020 JAN  1   17 55 11.1 40.5441 20.9390   10         3.8
 2020 JAN  1   20 07 44.8 37.6021 21.6591    9         1.9
 2020 JAN  1   20 11 34.9 37.5696 20.6726    7         2.2
 2020 JAN  1   21 54 08.1 37.9193 22.4908   13         1.3
 2020 JAN  1   22 16 56.1 40.5368 20.8786    9         2.4
 2020 JAN  1   22 36 39.4 38.0667 22.6859   20         2.2
 2020 JAN  1   22 42 42.5 39.1772 21.5405   14         1.7
 2020 JAN  2   00 11 01.7 37.4387 20.3879   13         2.8
 2020 JAN  2   00 45 09.2 37.2986 20.8044    8         2.7
 2020 JAN  2   00 56 50.8 38.0635 23.7529    9         1.1
 2020 JAN  2   01 13 09.9 40.5276 20.8200   14         3.1
 2020 JAN  2   02 24 11.9 38.3574 22.3933   17         1.4
 2020 JAN  2   02 28 09.0 40.5249 20.9253    4         1.9
 2020 JAN  2   04 29 19.1 37.4835 20.5243   18         2.5
 2020 JAN  2   04 41 27.4 34.6582 24.6973   18         3.2
 2020 JAN  2   04 43 28.1 40.5908 20.6982    9         1.4
